"Wavelength, µm","n","k"
0.5341,4.5091,1.0073
0.5343,4.5057,1.0039
0.5346,4.5023,1.0004
0.5348,4.4989,0.99932
0.535,4.4955,0.99591
0.5352,4.4921,0.99251
0.5355,4.4887,0.98911
0.5357,4.4853,0.98571
0.5359,4.4819,0.98231
0.5361,4.4807,0.97891
0.5364,4.4796,0.97551
0.5366,4.4762,0.9721
0.5368,4.4751,0.9687
0.537,4.4739,0.96757
0.5373,4.4751,0.96417
0.5375,4.4762,0.96077
0.5377,4.4751,0.95963
0.5379,4.4762,0.95623
0.5382,4.4773,0.95283
0.5384,4.4785,0.9517
0.5386,4.4796,0.9483
0.5388,4.4807,0.94489
0.5391,4.4819,0.94376
0.5393,4.483,0.94036
0.5395,4.4819,0.93696
0.5397,4.483,0.93582
0.54,4.4841,0.93242
0.5402,4.4853,0.93129
0.5404,4.4864,0.93015
0.5407,4.4853,0.92675
0.5409,4.4864,0.92562
0.5411,4.4898,0.92449
0.5413,4.4909,0.92335
0.5416,4.4921,0.92222
0.5418,4.4932,0.92108
0.542,4.4943,0.91995
0.5422,4.4977,0.91882
0.5425,4.4989,0.91768
0.5427,4.5,0.91655
0.5429,4.5034,0.91315
0.5431,4.5045,0.91201
0.5434,4.5079,0.90861
0.5436,4.5113,0.90748
0.5438,4.5147,0.90634
0.544,4.5181,0.90294
0.5443,4.5215,0.90181
0.5445,4.5227,0.90068
0.5447,4.5261,0.89727
0.545,4.5272,0.89614
0.5452,4.5283,0.89274
0.5454,4.5295,0.88934
0.5456,4.5306,0.8882
0.5459,4.5317,0.8848
0.5461,4.5351,0.8814
0.5463,4.5385,0.878
0.5465,4.542,0.8746
0.5468,4.5454,0.8712
0.547,4.5488,0.8678
0.5472,4.5522,0.86439
0.5474,4.5556,0.86099
0.5477,4.559,0.85759
0.5479,4.5624,0.85419
0.5481,4.5658,0.85079
0.5483,4.5692,0.84739
0.5486,4.5726,0.84399
0.5488,4.5782,0.83832
0.549,4.5839,0.83492
0.5493,4.5873,0.83151
0.5495,4.593,0.82811
0.5497,4.5986,0.82471
0.5499,4.6043,0.82131
0.5502,4.61,0.81791
0.5504,4.6156,0.81451
0.5506,4.6213,0.80884
0.5508,4.627,0.80544
0.5511,4.6304,0.80204
0.5513,4.6361,0.79637
0.5515,4.6417,0.7907
0.5517,4.6451,0.7873
0.552,4.6485,0.7839
0.5522,4.6519,0.78049
0.5524,4.6576,0.77483
0.5527,4.6633,0.76916
0.5529,4.6667,0.76576
0.5531,4.6701,0.76235
0.5533,4.6757,0.75669
0.5536,4.6814,0.75102
0.5538,4.6871,0.74535
0.554,4.6905,0.74195
0.5542,4.6939,0.73854
0.5545,4.6995,0.73288
0.5547,4.7029,0.72721
0.5549,4.7063,0.72154
0.5552,4.7075,0.71814
0.5554,4.7086,0.71473
0.5556,4.712,0.70907
0.5558,4.7132,0.7034
0.5561,4.712,0.7
0.5563,4.7132,0.69659
0.5565,4.7143,0.69319
0.5567,4.7177,0.68752
0.557,4.7211,0.68186
0.5572,4.7222,0.67845
0.5574,4.7234,0.67505
0.5576,4.7268,0.66938
0.5579,4.7302,0.66371
0.5581,4.7336,0.65805
0.5583,4.7347,0.65464
0.5586,4.7358,0.65124
0.5588,4.7392,0.64557
0.559,4.7426,0.6399
0.5592,4.746,0.63424
0.5595,4.7494,0.62857
0.5597,4.7506,0.62517
0.5599,4.754,0.6195
0.5601,4.7574,0.61383
0.5604,4.7608,0.60816
0.5606,4.7642,0.60249
0.5608,4.7653,0.59909
0.5611,4.7664,0.59569
0.5613,4.7698,0.59002
0.5615,4.7732,0.58435
0.5617,4.7744,0.57868
0.562,4.7732,0.57528
0.5622,4.7744,0.57188
0.5624,4.7778,0.56621
0.5626,4.7789,0.56054
0.5629,4.7778,0.55714
0.5631,4.7766,0.55374
0.5633,4.7755,0.55034
0.5636,4.7766,0.54467
0.5638,4.7755,0.54127
0.564,4.7744,0.53786
0.5642,4.7755,0.53446
0.5645,4.7766,0.52879
0.5647,4.7778,0.52312
0.5649,4.7789,0.51972
0.5651,4.78,0.51632
0.5654,4.7834,0.51009
0.5656,4.7823,0.50611
0.5658,4.7834,0.50099
0.5661,4.7846,0.49695
0.5663,4.7834,0.49392
0.5665,4.7823,0.48948
0.5667,4.7812,0.48565
0.567,4.7778,0.48243
0.5672,4.7812,0.4759
0.5674,4.78,0.47154
0.5677,4.7789,0.46708
0.5679,4.7778,0.46238
0.5681,4.7766,0.45718
0.5683,4.7755,0.45092
0.5686,4.7721,0.44687
0.5688,4.7664,0.4429
0.569,4.7608,0.43899
0.5692,4.7551,0.43518
0.5695,4.7494,0.43158
0.5697,4.7438,0.42841
0.5699,4.7381,0.42612
0.5702,4.7347,0.42115
0.5704,4.729,0.41941
0.5706,4.7256,0.41565
0.5708,4.7222,0.41189
0.5711,4.7188,0.40815
0.5713,4.7154,0.40444
0.5715,4.7098,0.40077
0.5718,4.7063,0.39715
0.572,4.7029,0.39352
0.5722,4.6995,0.38997
0.5724,4.6961,0.38642
0.5727,4.6927,0.38289
0.5729,4.6893,0.37941
